timestamp_ns	dev_addr	fcnt	gw_id	src_ip	tenant_id
1774860264696660791	1577853517	0	10	10.0.1.10	2
1774860264697015227	1988936361	0	10	10.0.1.10	2
1774860264704567402	2010455957	0	10	10.0.1.10	2
1774860264705585931	1638477498	0	9	10.0.1.9	2
1774860264707837454	1147208044	0	10	10.0.1.10	2
1774860264715035793	1776807916	0	9	10.0.1.9	2
1774860264720846721	1437269181	0	1	10.0.1.1	2
1774860264726215981	1771498621	0	1	10.0.1.1	2
1774860264731794016	1388743079	0	10	10.0.1.10	2
1774860264733799712	1845458781	0	9	10.0.1.9	2
1774860264737564864	1481773805	0	1	10.0.1.1	2
1774860264754116104	2062581916	0	7	10.0.1.7	2
1774860264757098273	1346447918	0	10	10.0.1.10	2
1774860264758110757	1179444324	0	9	10.0.1.9	2
1774860264767516291	2010666648	0	7	10.0.1.7	2
1774860264768011465	1681402455	0	9	10.0.1.9	2
1774860264769767114	1256260378	0	9	10.0.1.9	2
1774860264776458970	1818919899	0	7	10.0.1.7	2
1774860264776959392	1227413309	0	9	10.0.1.9	2
1774860264779599357	1332330846	0	1	10.0.1.1	2
1774860264792100906	1230046201	0	4	10.0.1.4	2
1774860264804106112	1875576105	0	8	10.0.1.8	2
1774860264810262692	1849459977	0	5	10.0.1.5	2
1774860264817628608	1123124250	0	5	10.0.1.5	2
1774860264822754501	2008798724	0	5	10.0.1.5	2
1774860264832853435	1577853517	1	10	10.0.1.10	2
1774860264833502808	1988936361	1	10	10.0.1.10	2
1774860264835454960	2010455957	1	10	10.0.1.10	2
1774860264836112116	1147208044	1	10	10.0.1.10	2
1774860264839915966	1638477498	1	9	10.0.1.9	2
1774860264841436590	1388743079	1	10	10.0.1.10	2
1774860264843748517	1776807916	1	9	10.0.1.9	2
1774860264847038120	1346447918	1	10	10.0.1.10	2
1774860264849133642	1845458781	1	9	10.0.1.9	2
1774860264851483438	1179444324	1	9	10.0.1.9	2
1774860264852701905	1681402455	1	9	10.0.1.9	2
1774860264853002929	1256260378	1	9	10.0.1.9	2
1774860264855415026	1227413309	1	9	10.0.1.9	2
1774860264858986709	1437269181	1	1	10.0.1.1	2
1774860264864787992	1771498621	1	1	10.0.1.1	2
1774860264866686895	1481773805	1	1	10.0.1.1	2
1774860264876100205	1332330846	1	1	10.0.1.1	2
1774860264876929669	2062581916	1	7	10.0.1.7	2
1774860264879151161	2010666648	1	7	10.0.1.7	2
1774860264880013956	1818919899	1	7	10.0.1.7	2
1774860264902240805	1230046201	1	4	10.0.1.4	2
1774860264919378627	1875576105	1	8	10.0.1.8	2
1774860264927275931	1849459977	1	5	10.0.1.5	2
1774860264945180327	1123124250	1	5	10.0.1.5	2
1774860264948914754	2008798724	1	5	10.0.1.5	2
1774860264951117448	1638477498	2	9	10.0.1.9	2
1774860264952564858	1776807916	2	9	10.0.1.9	2
1774860264957318915	1845458781	2	9	10.0.1.9	2
1774860264960046978	1179444324	2	9	10.0.1.9	2
1774860264961450010	1681402455	2	9	10.0.1.9	2
1774860264961798625	1256260378	2	9	10.0.1.9	2
1774860264962738457	1227413309	2	9	10.0.1.9	2
1774860264964826146	1577853517	2	10	10.0.1.10	2
