timestamp_ns	dev_addr	fcnt	gw_id	src_ip	tenant_id
1774860761194427406	3276954995	0	4	10.0.1.4	2
1774860761198950147	3553615832	0	4	10.0.1.4	2
1774860761200247524	3155707033	0	4	10.0.1.4	2
1774860761205650986	3977872721	0	4	10.0.1.4	2
1774860761206107875	3992906944	0	4	10.0.1.4	2
1774860761212804777	2224576380	0	4	10.0.1.4	2
1774860761213991833	4289439510	0	4	10.0.1.4	2
1774860761217444482	3508446744	0	4	10.0.1.4	2
1774860761218961689	4087572061	0	4	10.0.1.4	2
1774860761228456365	3128729228	0	2	10.0.1.2	2
1774860761229020213	2460092401	0	4	10.0.1.4	2
1774860761229456007	3027906024	0	2	10.0.1.2	2
1774860761229922230	3288154638	0	4	10.0.1.4	2
1774860761231632751	2874538361	0	1	10.0.1.1	2
1774860761237597348	3478301526	0	4	10.0.1.4	2
1774860761238043279	3542997242	0	1	10.0.1.1	2
1774860761238538349	4228832593	0	2	10.0.1.2	2
1774860761239114828	2664661692	0	4	10.0.1.4	2
1774860761239580653	3976635696	0	1	10.0.1.1	2
1774860761241649892	3137795550	0	4	10.0.1.4	2
1774860761244964934	2963547610	0	2	10.0.1.2	2
1774860761245635606	2695793574	0	4	10.0.1.4	2
1774860761247781805	2827508298	0	1	10.0.1.1	2
1774860761250551948	4020911913	0	1	10.0.1.1	2
1774860761252315770	4125163832	0	2	10.0.1.2	2
1774860761253072994	3635055455	0	6	10.0.1.6	2
1774860761253894111	3079430277	0	2	10.0.1.2	2
1774860761254947010	2294416087	0	1	10.0.1.1	2
1774860761257284811	3778286624	0	3	10.0.1.3	2
1774860761261687881	3100276082	0	2	10.0.1.2	2
1774860761262659620	3857188730	0	1	10.0.1.1	2
1774860761268927647	2358888647	0	6	10.0.1.6	2
1774860761270990691	2777486158	0	2	10.0.1.2	2
1774860761272196309	3849406260	0	2	10.0.1.2	2
1774860761272931431	3637839798	0	6	10.0.1.6	2
1774860761281379720	3362804910	0	3	10.0.1.3	2
1774860761282647290	2512520756	0	3	10.0.1.3	2
1774860761284214040	4107769039	0	3	10.0.1.3	2
1774860761286457221	2692895835	0	3	10.0.1.3	2
1774860761292789758	4021333295	0	7	10.0.1.7	2
1774860761295305878	2317066885	0	7	10.0.1.7	2
1774860761297623224	3698919954	0	5	10.0.1.5	2
1774860761298898499	2478971848	0	5	10.0.1.5	2
1774860761302092738	3690917561	0	5	10.0.1.5	2
1774860761309813608	2246248500	0	5	10.0.1.5	2
1774860761311338304	2952448758	0	5	10.0.1.5	2
1774860761313606950	4017597448	0	5	10.0.1.5	2
1774860761322032792	3751152209	0	8	10.0.1.8	2
1774860761339651683	3276954995	1	4	10.0.1.4	2
1774860761340115703	3553615832	1	4	10.0.1.4	2
1774860761340433542	3155707033	1	4	10.0.1.4	2
1774860761341047273	3977872721	1	4	10.0.1.4	2
1774860761341410323	3992906944	1	4	10.0.1.4	2
1774860761341972264	2224576380	1	4	10.0.1.4	2
1774860761342605003	4289439510	1	4	10.0.1.4	2
1774860761343991924	3508446744	1	4	10.0.1.4	2
1774860761344621096	4087572061	1	4	10.0.1.4	2
1774860761346265103	2460092401	1	4	10.0.1.4	2
1774860761346756788	3288154638	1	4	10.0.1.4	2
1774860761348754315	3478301526	1	4	10.0.1.4	2
1774860761349092267	2664661692	1	4	10.0.1.4	2
1774860761349612405	3137795550	1	4	10.0.1.4	2
1774860761350265350	2695793574	1	4	10.0.1.4	2
1774860761352532604	3128729228	1	2	10.0.1.2	2
1774860761353169002	3027906024	1	2	10.0.1.2	2
1774860761358115853	3502891610	0	9	10.0.1.9	2
1774860761359753966	4228832593	1	2	10.0.1.2	2
1774860761360023443	2874538361	1	2	10.0.1.2	2
1774860761360434715	3542997242	1	2	10.0.1.2	2
1774860761361588336	2963547610	1	2	10.0.1.2	2
1774860761365275550	2454826618	0	9	10.0.1.9	2
1774860761365581374	4125163832	1	2	10.0.1.2	2
1774860761366269120	3079430277	1	2	10.0.1.2	2
1774860761367798040	3100276082	1	2	10.0.1.2	2
1774860761369555455	2777486158	1	2	10.0.1.2	2
1774860761369846416	3849406260	1	2	10.0.1.2	2
1774860761375350513	3976635696	1	1	10.0.1.1	2
1774860761378403632	2827508298	1	1	10.0.1.1	2
1774860761379862881	4020911913	1	1	10.0.1.1	2
1774860761380226397	3635055455	1	6	10.0.1.6	2
1774860761382253617	2294416087	1	1	10.0.1.1	2
1774860761384705794	3857188730	1	1	10.0.1.1	2
1774860761385850353	2358888647	1	6	10.0.1.6	2
1774860761388006409	3637839798	1	6	10.0.1.6	2
1774860761398447116	3778286624	1	3	10.0.1.3	2
1774860761408950092	3362804910	1	3	10.0.1.3	2
1774860761409556996	2512520756	1	3	10.0.1.3	2
1774860761410183419	4107769039	1	3	10.0.1.3	2
1774860761411465912	2692895835	1	3	10.0.1.3	2
1774860761416303581	4021333295	1	7	10.0.1.7	2
1774860761419619752	2317066885	1	7	10.0.1.7	2
1774860761457102611	3698919954	1	5	10.0.1.5	2
1774860761457543830	2478971848	1	5	10.0.1.5	2
1774860761462668308	3690917561	1	5	10.0.1.5	2
1774860761465008507	3751152209	1	8	10.0.1.8	2
1774860761471223746	2246248500	1	5	10.0.1.5	2
1774860761472367276	2952448758	1	5	10.0.1.5	2
1774860761482315761	4017597448	1	5	10.0.1.5	2
1774860761484437721	3276954995	2	4	10.0.1.4	2
1774860761485327491	3553615832	2	4	10.0.1.4	2
1774860761486195842	3155707033	2	4	10.0.1.4	2
1774860761490368398	3977872721	2	4	10.0.1.4	2
1774860761490793851	3992906944	2	4	10.0.1.4	2
1774860761491065449	2224576380	2	4	10.0.1.4	2
1774860761491632921	4289439510	2	4	10.0.1.4	2
1774860761493326017	3508446744	2	4	10.0.1.4	2
1774860761494099961	4087572061	2	4	10.0.1.4	2
1774860761495629867	2460092401	2	4	10.0.1.4	2
1774860761495981763	3288154638	2	4	10.0.1.4	2
1774860761497885943	3478301526	2	4	10.0.1.4	2
1774860761498172992	2664661692	2	4	10.0.1.4	2
1774860761498974241	3137795550	2	4	10.0.1.4	2
1774860761499817102	2695793574	2	4	10.0.1.4	2
1774860761505734659	3128729228	2	2	10.0.1.2	2
1774860761506220011	3027906024	2	2	10.0.1.2	2
1774860761508308449	3502891610	1	9	10.0.1.9	2
1774860761509148021	4228832593	2	2	10.0.1.2	2
1774860761509950077	2874538361	2	2	10.0.1.2	2
1774860761510728212	3542997242	2	2	10.0.1.2	2
1774860761512424567	2963547610	2	2	10.0.1.2	2
1774860761515951672	4125163832	2	2	10.0.1.2	2
1774860761516455987	3079430277	2	2	10.0.1.2	2
1774860761518437284	3100276082	2	2	10.0.1.2	2
1774860761519614951	2454826618	1	9	10.0.1.9	2
1774860761521848462	2777486158	2	2	10.0.1.2	2
1774860761522189208	3849406260	2	2	10.0.1.2	2
1774860761529440042	3976635696	2	1	10.0.1.1	2
1774860761531374161	3635055455	2	6	10.0.1.6	2
1774860761532588278	2827508298	2	1	10.0.1.1	2
1774860761533783571	4020911913	2	1	10.0.1.1	2
1774860761535650156	2294416087	2	1	10.0.1.1	2
1774860761536688544	2358888647	2	6	10.0.1.6	2
1774860761538449909	3857188730	2	1	10.0.1.1	2
1774860761538739618	3637839798	2	6	10.0.1.6	2
1774860761549114105	3778286624	2	3	10.0.1.3	2
1774860761556786258	3362804910	2	3	10.0.1.3	2
1774860761557666236	2512520756	2	3	10.0.1.3	2
1774860761558978383	4107769039	2	3	10.0.1.3	2
1774860761561014954	2692895835	2	3	10.0.1.3	2
1774860761566467335	4021333295	2	7	10.0.1.7	2
1774860761568864115	2317066885	2	7	10.0.1.7	2
1774860761604447190	3698919954	2	5	10.0.1.5	2
1774860761605323621	2478971848	2	5	10.0.1.5	2
1774860761609258445	3690917561	2	5	10.0.1.5	2
1774860761615306672	2246248500	2	5	10.0.1.5	2
1774860761616544668	2952448758	2	5	10.0.1.5	2
1774860761632716954	4017597448	2	5	10.0.1.5	2
1774860761635820901	3751152209	2	8	10.0.1.8	2
1774860761636503852	3276954995	3	4	10.0.1.4	2
1774860761639599995	3553615832	3	4	10.0.1.4	2
1774860761642741218	3155707033	3	4	10.0.1.4	2
1774860761645993676	3502891610	2	9	10.0.1.9	2
1774860761647274458	3977872721	3	4	10.0.1.4	2
1774860761648357338	3992906944	3	4	10.0.1.4	2
1774860761650532861	2224576380	3	4	10.0.1.4	2
1774860761652865106	4289439510	3	4	10.0.1.4	2
1774860761657957778	3508446744	3	4	10.0.1.4	2
1774860761658475094	3128729228	3	6	10.0.1.6	2
1774860761659309226	2454826618	2	9	10.0.1.9	2
1774860761662788287	4087572061	3	4	10.0.1.4	2
1774860761663888577	3027906024	3	2	10.0.1.2	2
1774860761665085121	2874538361	3	1	10.0.1.1	2
1774860761669105104	2460092401	3	4	10.0.1.4	2
1774860761669955755	3542997242	3	1	10.0.1.1	2
1774860761670793860	3288154638	3	4	10.0.1.4	2
1774860761671748751	3976635696	3	1	10.0.1.1	2
1774860761672220030	4228832593	3	2	10.0.1.2	2
1774860761674594815	3635055455	3	6	10.0.1.6	2
1774860761677358105	3478301526	3	4	10.0.1.4	2
1774860761678166006	2963547610	3	1	10.0.1.1	2
1774860761678824397	2664661692	3	4	10.0.1.4	2
1774860761679879106	2827508298	3	1	10.0.1.1	2
1774860761682382362	3137795550	3	4	10.0.1.4	2
1774860761682834052	4020911913	3	6	10.0.1.6	2
1774860761683583221	2224576380	3	2	10.0.1.2	2
1774860761685701289	2695793574	3	4	10.0.1.4	2
