timestamp_ns	dev_addr	fcnt	gw_id	src_ip
1774860969780991844	2898369394	0	5	10.0.1.5
1774860969782817046	655392398	0	5	10.0.1.5
1774860969784545793	4018635622	0	5	10.0.1.5
1774860969785196915	488757598	0	5	10.0.1.5
1774860969785681030	2626208332	0	5	10.0.1.5
1774860969786281535	2745779158	0	5	10.0.1.5
1774860969787327442	1856183813	0	5	10.0.1.5
1774860969789052151	2076378537	0	5	10.0.1.5
1774860969790343992	3808189964	0	5	10.0.1.5
1774860969790908557	2901564217	0	5	10.0.1.5
1774860969792741540	1151514516	0	5	10.0.1.5
1774860969793956188	247694516	0	5	10.0.1.5
1774860969794949403	383471470	0	5	10.0.1.5
1774860969795997634	4259642430	0	5	10.0.1.5
1774860969797063556	933218567	0	5	10.0.1.5
1774860969797439594	2889841059	0	5	10.0.1.5
1774860969798310725	1564538605	0	5	10.0.1.5
1774860969798970658	1753606377	0	2	10.0.1.2
1774860969799532533	4119844090	0	2	10.0.1.2
1774860969801007859	3909572108	0	2	10.0.1.2
1774860969801933864	704937175	0	2	10.0.1.2
1774860969803055789	599416365	0	2	10.0.1.2
1774860969803267225	3241424006	0	2	10.0.1.2
1774860969804292752	858302800	0	2	10.0.1.2
1774860969805042963	2858622573	0	2	10.0.1.2
1774860969805327346	2016996413	0	2	10.0.1.2
1774860969805795776	2708439015	0	2	10.0.1.2
1774860969806775844	988493675	0	4	10.0.1.4
1774860969808225330	50818990	0	4	10.0.1.4
1774860969808802826	3564894126	0	4	10.0.1.4
1774860969809204551	3003182825	0	4	10.0.1.4
1774860969810398390	3606737687	0	4	10.0.1.4
1774860969810790226	2107002899	0	4	10.0.1.4
1774860969811259658	477672769	0	1	10.0.1.1
1774860969811819577	3959232199	0	4	10.0.1.4
1774860969812390081	2576063033	0	1	10.0.1.1
1774860969813957212	2083919442	0	4	10.0.1.4
1774860969815488492	2229640354	0	4	10.0.1.4
1774860969815910039	1707991444	0	1	10.0.1.1
1774860969816458413	232792703	0	4	10.0.1.4
1774860969817632980	414743068	0	1	10.0.1.1
1774860969818766042	3836325298	0	4	10.0.1.4
1774860969819517568	2296563577	0	1	10.0.1.1
1774860969820315619	1377571547	0	1	10.0.1.1
1774860969822240826	4030909294	0	1	10.0.1.1
1774860969823365355	2067026700	0	1	10.0.1.1
1774860969824517863	3428610663	0	1	10.0.1.1
1774860969829532807	2206755353	0	3	10.0.1.3
1774860969830593721	3394290607	0	3	10.0.1.3
1774860969831642345	570084675	0	3	10.0.1.3
1774860969917171811	2898369394	1	5	10.0.1.5
1774860969918120703	655392398	1	5	10.0.1.5
1774860969918416928	4018635622	1	5	10.0.1.5
1774860969918913716	488757598	1	5	10.0.1.5
1774860969919756141	2626208332	1	5	10.0.1.5
1774860969920335117	2745779158	1	5	10.0.1.5
1774860969921194399	1856183813	1	5	10.0.1.5
1774860969921648165	2076378537	1	5	10.0.1.5
1774860969922354847	3808189964	1	5	10.0.1.5
1774860969922991125	2901564217	1	5	10.0.1.5
1774860969923624554	1151514516	1	5	10.0.1.5
1774860969924254644	247694516	1	5	10.0.1.5
1774860969924889855	383471470	1	5	10.0.1.5
1774860969925529686	4259642430	1	5	10.0.1.5
1774860969926194487	933218567	1	5	10.0.1.5
1774860969926889809	2889841059	1	5	10.0.1.5
1774860969927382183	1564538605	1	5	10.0.1.5
1774860969928052168	1753606377	1	2	10.0.1.2
1774860969928759167	4119844090	1	2	10.0.1.2
1774860969930337983	3909572108	1	2	10.0.1.2
1774860969931367748	704937175	1	2	10.0.1.2
1774860969932457952	599416365	1	2	10.0.1.2
1774860969932977240	3241424006	1	2	10.0.1.2
1774860969933874391	858302800	1	2	10.0.1.2
1774860969934418776	2858622573	1	2	10.0.1.2
1774860969934968380	2016996413	1	2	10.0.1.2
1774860969935899342	2708439015	1	2	10.0.1.2
1774860969937194829	988493675	1	4	10.0.1.4
1774860969938566508	50818990	1	4	10.0.1.4
1774860969939351498	3564894126	1	4	10.0.1.4
1774860969940174955	3003182825	1	4	10.0.1.4
1774860969941448589	3606737687	1	4	10.0.1.4
1774860969941711155	2107002899	1	4	10.0.1.4
1774860969942501488	3959232199	1	4	10.0.1.4
1774860969943458994	2083919442	1	4	10.0.1.4
1774860969944374213	2229640354	1	4	10.0.1.4
1774860969944992901	232792703	1	4	10.0.1.4
1774860969946151007	477672769	1	1	10.0.1.1
1774860969946579026	3836325298	1	4	10.0.1.4
1774860969947235769	2576063033	1	1	10.0.1.1
1774860969949468954	1707991444	1	1	10.0.1.1
1774860969950351494	414743068	1	1	10.0.1.1
1774860969951460303	2296563577	1	1	10.0.1.1
1774860969952473668	1377571547	1	1	10.0.1.1
1774860969954249954	4030909294	1	1	10.0.1.1
1774860969955351680	2067026700	1	1	10.0.1.1
1774860969956309782	3428610663	1	1	10.0.1.1
1774860969963287615	2206755353	1	3	10.0.1.3
1774860969963993140	3394290607	1	3	10.0.1.3
1774860969965153040	570084675	1	3	10.0.1.3
1774860970047797876	2898369394	2	5	10.0.1.5
1774860970048780716	655392398	2	5	10.0.1.5
1774860970049256709	4018635622	2	5	10.0.1.5
1774860970050254539	488757598	2	5	10.0.1.5
1774860970050861502	2626208332	2	5	10.0.1.5
1774860970051278737	2745779158	2	5	10.0.1.5
1774860970052315591	1856183813	2	5	10.0.1.5
1774860970052877807	2076378537	2	5	10.0.1.5
1774860970053307613	3808189964	2	5	10.0.1.5
1774860970053930924	2901564217	2	5	10.0.1.5
1774860970054437277	1151514516	2	5	10.0.1.5
1774860970055158654	247694516	2	5	10.0.1.5
1774860970055868710	383471470	2	5	10.0.1.5
1774860970056105715	4259642430	2	5	10.0.1.5
1774860970056681151	933218567	2	5	10.0.1.5
1774860970057232061	2889841059	2	5	10.0.1.5
1774860970057843294	1564538605	2	5	10.0.1.5
1774860970058381269	1753606377	2	2	10.0.1.2
1774860970059231372	4119844090	2	2	10.0.1.2
1774860970060486168	3909572108	2	2	10.0.1.2
1774860970061702527	704937175	2	2	10.0.1.2
1774860970062684109	599416365	2	2	10.0.1.2
1774860970063394757	3241424006	2	2	10.0.1.2
1774860970063914297	858302800	2	2	10.0.1.2
1774860970064392840	988493675	2	4	10.0.1.4
1774860970064837278	2858622573	2	2	10.0.1.2
1774860970066309977	2016996413	2	2	10.0.1.2
1774860970067276239	50818990	2	4	10.0.1.4
1774860970068029555	2708439015	2	2	10.0.1.2
1774860970069210736	3564894126	2	4	10.0.1.4
1774860970069930817	3003182825	2	4	10.0.1.4
1774860970071221915	3606737687	2	4	10.0.1.4
1774860970072167936	2107002899	2	4	10.0.1.4
1774860970073318886	3959232199	2	4	10.0.1.4
1774860970074349362	2083919442	2	4	10.0.1.4
1774860970074932721	2229640354	2	4	10.0.1.4
1774860970075712698	232792703	2	4	10.0.1.4
1774860970076551568	3836325298	2	4	10.0.1.4
1774860970079348017	477672769	2	1	10.0.1.1
1774860970079930871	2576063033	2	1	10.0.1.1
1774860970081893730	1707991444	2	1	10.0.1.1
1774860970082810488	414743068	2	1	10.0.1.1
1774860970084496880	2296563577	2	1	10.0.1.1
1774860970085315879	1377571547	2	1	10.0.1.1
1774860970087195491	4030909294	2	1	10.0.1.1
1774860970088287397	2067026700	2	1	10.0.1.1
1774860970089807721	3428610663	2	1	10.0.1.1
1774860970098355323	2206755353	2	3	10.0.1.3
1774860970099475077	3394290607	2	3	10.0.1.3
1774860970100700930	570084675	2	3	10.0.1.3
1774860970170038197	2898369394	3	5	10.0.1.5
1774860970170898555	655392398	3	5	10.0.1.5
1774860970171783673	4018635622	3	5	10.0.1.5
1774860970172116924	488757598	3	5	10.0.1.5
1774860970172545094	2626208332	3	5	10.0.1.5
1774860970173208787	2745779158	3	5	10.0.1.5
1774860970173721709	1856183813	3	5	10.0.1.5
1774860970174004587	2076378537	3	5	10.0.1.5
1774860970174343309	3808189964	3	5	10.0.1.5
1774860970175110780	2901564217	3	5	10.0.1.5
1774860970175532720	1151514516	3	5	10.0.1.5
1774860970175791613	247694516	3	5	10.0.1.5
1774860970176124872	383471470	3	5	10.0.1.5
1774860970176675157	4259642430	3	5	10.0.1.5
1774860970177148470	933218567	3	5	10.0.1.5
1774860970177904344	2889841059	3	5	10.0.1.5
1774860970180281322	1564538605	3	5	10.0.1.5
1774860970193435969	1753606377	3	2	10.0.1.2
1774860970194283604	988493675	3	4	10.0.1.4
1774860970195087744	4119844090	3	2	10.0.1.2
1774860970197138548	3909572108	3	2	10.0.1.2
1774860970198143881	50818990	3	4	10.0.1.4
1774860970198610020	704937175	3	2	10.0.1.2
1774860970199054553	3564894126	3	4	10.0.1.4
1774860970199854399	3003182825	3	4	10.0.1.4
1774860970200470006	599416365	3	2	10.0.1.2
1774860970201205963	3241424006	3	2	10.0.1.2
1774860970201890000	858302800	3	4	10.0.1.4
1774860970202711574	3606737687	3	4	10.0.1.4
1774860970204125832	2858622573	3	2	10.0.1.2
1774860970204357654	2107002899	3	4	10.0.1.4
1774860970204849073	2016996413	3	2	10.0.1.2
1774860970205329463	3959232199	3	4	10.0.1.4
1774860970205790484	2708439015	3	2	10.0.1.2
1774860970207544367	2083919442	3	4	10.0.1.4
1774860970208324460	2229640354	3	4	10.0.1.4
1774860970209185792	232792703	3	4	10.0.1.4
1774860970210286117	3836325298	3	4	10.0.1.4
1774860970215176853	477672769	3	1	10.0.1.1
1774860970215769472	2576063033	3	1	10.0.1.1
1774860970218783308	1707991444	3	1	10.0.1.1
1774860970219612316	414743068	3	1	10.0.1.1
1774860970220646254	2296563577	3	1	10.0.1.1
1774860970221542281	1377571547	3	1	10.0.1.1
1774860970223189031	4030909294	3	1	10.0.1.1
1774860970224153528	2067026700	3	1	10.0.1.1
1774860970225309495	3428610663	3	1	10.0.1.1
1774860970233056069	2206755353	3	3	10.0.1.3
1774860970233968727	3394290607	3	3	10.0.1.3
1774860970235060334	570084675	3	3	10.0.1.3
1774860970298041563	2898369394	4	5	10.0.1.5
1774860970300183869	655392398	4	5	10.0.1.5
1774860970300378954	4018635622	4	5	10.0.1.5
1774860970300576926	488757598	4	5	10.0.1.5
1774860970300806576	2626208332	4	5	10.0.1.5
1774860970301032926	2745779158	4	5	10.0.1.5
1774860970301224858	1856183813	4	5	10.0.1.5
1774860970302175121	2076378537	4	5	10.0.1.5
1774860970302366188	3808189964	4	5	10.0.1.5
1774860970302598451	2901564217	4	5	10.0.1.5
1774860970305202622	1151514516	4	5	10.0.1.5
1774860970305421602	247694516	4	5	10.0.1.5
1774860970305647313	383471470	4	5	10.0.1.5
1774860970305854702	4259642430	4	5	10.0.1.5
1774860970306060368	933218567	4	5	10.0.1.5
1774860970306245972	2889841059	4	5	10.0.1.5
1774860970306429375	1564538605	4	5	10.0.1.5
1774860970331416706	1753606377	4	2	10.0.1.2
1774860970331934518	988493675	4	4	10.0.1.4
1774860970332347746	4119844090	4	2	10.0.1.2
1774860970336685373	3909572108	4	4	10.0.1.4
1774860970337096529	50818990	4	4	10.0.1.4
1774860970337354819	3564894126	4	4	10.0.1.4
1774860970337628110	3003182825	4	4	10.0.1.4
1774860970339423950	858302800	4	4	10.0.1.4
1774860970339678551	704937175	4	2	10.0.1.2
1774860970341952842	3606737687	4	4	10.0.1.4
1774860970342292535	2107002899	4	4	10.0.1.4
1774860970342610072	3959232199	4	4	10.0.1.4
1774860970342865952	599416365	4	2	10.0.1.2
1774860970343123882	2858622573	4	4	10.0.1.4
1774860970343347797	3241424006	4	2	10.0.1.2
1774860970343548460	2083919442	4	4	10.0.1.4
1774860970343767366	2229640354	4	4	10.0.1.4
1774860970343998489	232792703	4	4	10.0.1.4
1774860970344202735	2016996413	4	2	10.0.1.2
1774860970344402942	2708439015	4	2	10.0.1.2
1774860970344613013	3836325298	4	4	10.0.1.4
1774860970348485322	477672769	4	1	10.0.1.1
1774860970348775651	2576063033	4	1	10.0.1.1
1774860970350297246	1707991444	4	1	10.0.1.1
1774860970351052331	414743068	4	1	10.0.1.1
1774860970352181931	2296563577	4	1	10.0.1.1
1774860970352912220	1377571547	4	1	10.0.1.1
1774860970354465862	4030909294	4	1	10.0.1.1
1774860970356746524	2067026700	4	1	10.0.1.1
1774860970358213219	3428610663	4	1	10.0.1.1
1774860970382375531	2206755353	4	3	10.0.1.3
1774860970383398309	3394290607	4	3	10.0.1.3
1774860970384683928	570084675	4	3	10.0.1.3
1774860970427379476	2898369394	5	5	10.0.1.5
1774860970427811833	655392398	5	5	10.0.1.5
1774860970428200955	4018635622	5	5	10.0.1.5
1774860970428583319	488757598	5	5	10.0.1.5
1774860970429062391	2626208332	5	5	10.0.1.5
1774860970429430582	2745779158	5	5	10.0.1.5
1774860970430362190	1856183813	5	5	10.0.1.5
1774860970430910144	2076378537	5	5	10.0.1.5
1774860970431389282	3808189964	5	5	10.0.1.5
1774860970432011375	2901564217	5	5	10.0.1.5
1774860970432605542	1151514516	5	5	10.0.1.5
1774860970433005927	247694516	5	5	10.0.1.5
1774860970433446277	383471470	5	5	10.0.1.5
1774860970433880050	4259642430	5	5	10.0.1.5
1774860970434238937	933218567	5	5	10.0.1.5
1774860970434789458	2889841059	5	5	10.0.1.5
1774860970435164937	1564538605	5	5	10.0.1.5
1774860970462129038	1753606377	5	2	10.0.1.2
1774860970462723738	988493675	5	4	10.0.1.4
1774860970463364289	4119844090	5	2	10.0.1.2
1774860970464937555	3909572108	5	4	10.0.1.4
1774860970465665676	50818990	5	4	10.0.1.4
1774860970466505740	3564894126	5	4	10.0.1.4
1774860970467026296	704937175	5	2	10.0.1.2
1774860970467546515	3003182825	5	4	10.0.1.4
1774860970468493442	599416365	5	2	10.0.1.2
1774860970469035248	858302800	5	4	10.0.1.4
1774860970469443360	3241424006	5	2	10.0.1.2
1774860970469992975	3606737687	5	4	10.0.1.4
1774860970470739205	2107002899	5	4	10.0.1.4
1774860970471454686	2858622573	5	2	10.0.1.2
1774860970471844523	3959232199	5	4	10.0.1.4
1774860970472153562	2016996413	5	2	10.0.1.2
1774860970472907359	2708439015	5	2	10.0.1.2
1774860970474124760	2083919442	5	4	10.0.1.4
1774860970475448868	2229640354	5	4	10.0.1.4
1774860970476017050	232792703	5	4	10.0.1.4
1774860970477400335	3836325298	5	4	10.0.1.4
1774860970487048500	477672769	5	1	10.0.1.1
1774860970487745668	2576063033	5	1	10.0.1.1
1774860970489685198	1707991444	5	1	10.0.1.1
1774860970490680740	414743068	5	1	10.0.1.1
1774860970492028056	2296563577	5	1	10.0.1.1
1774860970492716281	1377571547	5	1	10.0.1.1
1774860970494415319	4030909294	5	1	10.0.1.1
1774860970495477836	2067026700	5	1	10.0.1.1
1774860970496522769	3428610663	5	1	10.0.1.1
1774860970513724348	2206755353	5	3	10.0.1.3
1774860970514288716	3394290607	5	3	10.0.1.3
1774860970515298758	570084675	5	3	10.0.1.3
1774860970559248479	2898369394	6	5	10.0.1.5
1774860970560203465	655392398	6	5	10.0.1.5
1774860970562293885	4018635622	6	5	10.0.1.5
1774860970562908181	488757598	6	5	10.0.1.5
1774860970563633072	2626208332	6	5	10.0.1.5
1774860970564735731	2745779158	6	5	10.0.1.5
1774860970565957324	1856183813	6	5	10.0.1.5
1774860970567160485	2076378537	6	5	10.0.1.5
1774860970568046241	3808189964	6	5	10.0.1.5
1774860970568957241	2901564217	6	5	10.0.1.5
1774860970570115931	1151514516	6	5	10.0.1.5
1774860970570600205	247694516	6	5	10.0.1.5
1774860970571520271	383471470	6	5	10.0.1.5
1774860970572489896	4259642430	6	5	10.0.1.5
1774860970573505260	933218567	6	5	10.0.1.5
1774860970574481685	2889841059	6	5	10.0.1.5
1774860970575160885	1564538605	6	5	10.0.1.5
1774860970596150140	1753606377	6	2	10.0.1.2
1774860970597362690	988493675	6	4	10.0.1.4
1774860970598217087	4119844090	6	2	10.0.1.2
1774860970608194620	3909572108	6	4	10.0.1.4
1774860970608606260	50818990	6	4	10.0.1.4
1774860970608803105	3564894126	6	4	10.0.1.4
1774860970609009499	3003182825	6	4	10.0.1.4
1774860970609231716	704937175	6	2	10.0.1.2
1774860970609569920	599416365	6	2	10.0.1.2
1774860970609872514	858302800	6	4	10.0.1.4
1774860970610275594	3241424006	6	2	10.0.1.2
1774860970610745402	3606737687	6	4	10.0.1.4
1774860970610958802	2858622573	6	2	10.0.1.2
1774860970611188462	2107002899	6	4	10.0.1.4
1774860970611616001	2016996413	6	2	10.0.1.2
1774860970612055563	3959232199	6	4	10.0.1.4
1774860970612263823	2708439015	6	2	10.0.1.2
1774860970612598458	2083919442	6	4	10.0.1.4
1774860970613175706	2229640354	6	4	10.0.1.4
1774860970613508965	232792703	6	4	10.0.1.4
1774860970613984023	3836325298	6	4	10.0.1.4
1774860970628580050	477672769	6	1	10.0.1.1
1774860970629297919	2576063033	6	1	10.0.1.1
1774860970630850315	1707991444	6	1	10.0.1.1
1774860970631582347	414743068	6	1	10.0.1.1
1774860970632539340	2296563577	6	1	10.0.1.1
