timestamp_ns	dev_addr	fcnt	gw_id	src_ip	tenant_id
1774860493036734088	3445016859	0	5	10.0.1.5	2
1774860493037787200	2601713169	0	5	10.0.1.5	2
1774860493199175386	3193010882	0	20	10.0.1.20	2
1774860493264353435	2966182797	0	5	10.0.1.5	2
1774860493302610295	2548860529	0	20	10.0.1.20	2
1774860493418984974	3662521786	0	5	10.0.1.5	2
1774860493739332508	3941639824	0	14	10.0.1.14	2
1774860493796236593	2187469866	0	20	10.0.1.20	2
1774860493925823530	3256383614	0	32	10.0.1.32	2
1774860493979339023	3182807184	0	36	10.0.1.36	2
1774860494008425427	3941639824	0	6	10.0.1.6	2
1774860494008754525	3256383614	0	9	10.0.1.9	2
1774860494025643324	3182807184	0	11	10.0.1.11	2
1774860494072084481	2955643550	0	14	10.0.1.14	2
1774860494088370851	2905326340	0	35	10.0.1.35	2
1774860494088747761	3937121357	0	36	10.0.1.36	2
1774860494089049071	2955643550	0	44	10.0.1.44	2
1774860494089271136	4095771933	0	3	10.0.1.3	2
1774860494089484535	3873867035	0	5	10.0.1.5	2
1774860494089701238	3257008771	0	6	10.0.1.6	2
1774860494089940057	2503119448	0	11	10.0.1.11	2
1774860494090142079	3529340000	0	16	10.0.1.16	2
1774860494090337729	2925351500	0	17	10.0.1.17	2
1774860494090534744	2925351500	0	32	10.0.1.32	2
1774860494116912390	2445915811	0	35	10.0.1.35	2
1774860494119885261	2313029348	0	38	10.0.1.38	2
1774860494121878962	3889463606	0	3	10.0.1.3	2
1774860494133416775	3259327635	0	5	10.0.1.5	2
1774860494133982762	3256383614	0	6	10.0.1.6	2
1774860494150201672	2975256748	0	14	10.0.1.14	2
1774860494167340462	3694220898	0	17	10.0.1.17	2
1774860494167957823	2955643550	0	23	10.0.1.23	2
1774860494168230819	4095771933	0	26	10.0.1.26	2
1774860494172366157	3889463606	0	30	10.0.1.30	2
1774860494201353546	3225170359	0	31	10.0.1.31	2
1774860494205240591	2534111324	0	32	10.0.1.32	2
1774860494218463726	2534111324	0	36	10.0.1.36	2
1774860494218810037	3694220898	0	38	10.0.1.38	2
1774860494219062437	2493757355	0	40	10.0.1.40	2
1774860494243545190	2955643550	0	42	10.0.1.42	2
1774860494245120404	3445016859	0	46	10.0.1.46	2
1774860494245687712	4205284810	0	48	10.0.1.48	2
1774860494245934175	3467645283	0	2	10.0.1.2	2
1774860494246645634	3694220898	0	3	10.0.1.3	2
1774860494247134320	2503119448	0	4	10.0.1.4	2
1774860494248129500	2376115405	0	5	10.0.1.5	2
1774860494250613166	3830827863	0	14	10.0.1.14	2
1774860494251408822	3941639824	0	15	10.0.1.15	2
1774860494263163074	2955643550	0	18	10.0.1.18	2
1774860494275385543	2195686157	0	19	10.0.1.19	2
1774860494279881569	2642148625	0	23	10.0.1.23	2
1774860494281472917	2503119448	0	26	10.0.1.26	2
1774860494282030418	3225170359	0	27	10.0.1.27	2
1774860494284373106	3889463606	0	31	10.0.1.31	2
1774860494284821399	3357815524	0	32	10.0.1.32	2
1774860494292675403	3256383614	0	33	10.0.1.33	2
1774860494293453206	4205284810	0	36	10.0.1.36	2
1774860494298639168	2331627165	0	44	10.0.1.44	2
1774860494300963983	3692699705	0	48	10.0.1.48	2
1774860494303481914	3541698190	0	2	10.0.1.2	2
1774860494304157484	3437774975	0	3	10.0.1.3	2
1774860494305526289	3871788987	0	5	10.0.1.5	2
1774860494306241811	2187469866	0	6	10.0.1.6	2
1774860494309056344	3112140514	0	11	10.0.1.11	2
1774860494310824783	3541698190	0	14	10.0.1.14	2
1774860494311812808	3937121357	0	16	10.0.1.16	2
1774860494313467864	2905326340	0	18	10.0.1.18	2
