timestamp_ns	dev_addr	fcnt	gw_id	src_ip	tenant_id
1776138599724085128	3276954995	0	9	10.0.1.9	2
1776138599724700343	3128729228	0	9	10.0.1.9	2
1776138599725200545	3553615832	0	9	10.0.1.9	2
1776138599726230894	4228832593	0	9	10.0.1.9	2
1776138599750630867	3976635696	0	9	10.0.1.9	2
1776138599753187162	2827508298	0	9	10.0.1.9	2
1776138599757035352	3690917561	0	9	10.0.1.9	2
1776138599758400499	2224576380	0	9	10.0.1.9	2
1776138599760630015	3502891610	0	9	10.0.1.9	2
1776138599761898784	4289439510	0	9	10.0.1.9	2
1776138599762433541	2358888647	0	9	10.0.1.9	2
1776138599763818640	3100276082	0	9	10.0.1.9	2
1776138599765342854	3362804910	0	9	10.0.1.9	2
1776138599766599444	2512520756	0	9	10.0.1.9	2
1776138599767060933	2478971848	0	10	10.0.1.10	2
1776138599768337331	3155707033	0	10	10.0.1.10	2
1776138599770488597	2454826618	0	9	10.0.1.9	2
1776138599770947617	3977872721	0	10	10.0.1.10	2
1776138599771836791	3992906944	0	10	10.0.1.10	2
1776138599774193745	4020911913	0	10	10.0.1.10	2
1776138599775889905	2294416087	0	10	10.0.1.10	2
1776138599781002622	2874538361	0	1	10.0.1.1	2
1776138599786225141	3542997242	0	1	10.0.1.1	2
1776138599787051718	4087572061	0	10	10.0.1.10	2
1776138599790097457	3857188730	0	10	10.0.1.10	2
1776138599791039229	2777486158	0	10	10.0.1.10	2
1776138599791809836	2952448758	0	10	10.0.1.10	2
1776138599792209403	2963547610	0	1	10.0.1.1	2
1776138599797827067	2692895835	0	10	10.0.1.10	2
1776138599800783572	2695793574	0	10	10.0.1.10	2
1776138599807643938	3478301526	0	1	10.0.1.1	2
1776138599808926151	2664661692	0	1	10.0.1.1	2
1776138599811115161	4125163832	0	7	10.0.1.7	2
1776138599813502983	4021333295	0	7	10.0.1.7	2
1776138599815758523	3637839798	0	7	10.0.1.7	2
1776138599817804376	2317066885	0	7	10.0.1.7	2
1776138599820811452	3137795550	0	7	10.0.1.7	2
1776138599828238377	3698919954	0	5	10.0.1.5	2
1776138599837431776	3508446744	0	4	10.0.1.4	2
1776138599842719348	2460092401	0	4	10.0.1.4	2
1776138599843581502	3288154638	0	4	10.0.1.4	2
1776138599848145690	2246248500	0	5	10.0.1.5	2
1776138599856796265	4017597448	0	5	10.0.1.5	2
1776138599864298164	3635055455	0	6	10.0.1.6	2
1776138599878255380	3027906024	0	3	10.0.1.3	2
1776138599878504904	3778286624	0	3	10.0.1.3	2
1776138599882821528	4107769039	0	3	10.0.1.3	2
1776138599890130255	3079430277	0	2	10.0.1.2	2
1776138599898052395	3849406260	0	2	10.0.1.2	2
1776138599901843662	3751152209	0	8	10.0.1.8	2
1776138599910101042	3276954995	1	9	10.0.1.9	2
1776138599911301171	3128729228	1	9	10.0.1.9	2
1776138599911711779	3553615832	1	9	10.0.1.9	2
1776138599912412580	4228832593	1	9	10.0.1.9	2
1776138599913723920	3976635696	1	9	10.0.1.9	2
1776138599920663684	2827508298	1	9	10.0.1.9	2
1776138599921949634	3690917561	1	9	10.0.1.9	2
1776138599923490972	2224576380	1	9	10.0.1.9	2
1776138599924037788	3502891610	1	9	10.0.1.9	2
1776138599924962933	4289439510	1	9	10.0.1.9	2
1776138599925411687	2358888647	1	9	10.0.1.9	2
1776138599926614042	3100276082	1	9	10.0.1.9	2
1776138599927495946	3362804910	1	9	10.0.1.9	2
1776138599927868966	2512520756	1	9	10.0.1.9	2
1776138599929161977	2454826618	1	9	10.0.1.9	2
1776138599930319435	2478971848	1	10	10.0.1.10	2
1776138599930828583	3155707033	1	10	10.0.1.10	2
1776138599932574910	3977872721	1	10	10.0.1.10	2
1776138599933150066	3992906944	1	10	10.0.1.10	2
1776138599933971975	4020911913	1	10	10.0.1.10	2
1776138599935152238	2294416087	1	10	10.0.1.10	2
1776138599939419176	4087572061	1	10	10.0.1.10	2
1776138599940330390	3857188730	1	10	10.0.1.10	2
1776138599940715807	2777486158	1	10	10.0.1.10	2
1776138599941065942	2952448758	1	10	10.0.1.10	2
1776138599943522943	2692895835	1	10	10.0.1.10	2
1776138599944590471	2695793574	1	10	10.0.1.10	2
1776138599946763594	2874538361	1	1	10.0.1.1	2
1776138599948403212	3542997242	1	1	10.0.1.1	2
1776138599950038712	2963547610	1	1	10.0.1.1	2
1776138599956108707	3478301526	1	1	10.0.1.1	2
1776138599956480185	2664661692	1	1	10.0.1.1	2
1776138599960143323	4125163832	1	7	10.0.1.7	2
1776138599962067614	4021333295	1	7	10.0.1.7	2
1776138599963637348	3637839798	1	7	10.0.1.7	2
1776138599964681231	2317066885	1	7	10.0.1.7	2
1776138599966147881	3137795550	1	7	10.0.1.7	2
1776138599967980691	3698919954	1	5	10.0.1.5	2
1776138599979871227	3508446744	1	4	10.0.1.4	2
1776138599987237478	2460092401	1	4	10.0.1.4	2
1776138599989116877	3288154638	1	4	10.0.1.4	2
1776138599989703917	2246248500	1	5	10.0.1.5	2
1776138599997291072	4017597448	1	5	10.0.1.5	2
1776138600008540876	3635055455	1	6	10.0.1.6	2
1776138600020138178	3027906024	1	2	10.0.1.2	2
1776138600026181178	3079430277	1	2	10.0.1.2	2
1776138600029938590	3849406260	1	2	10.0.1.2	2
1776138600040447739	3778286624	1	3	10.0.1.3	2
1776138600046352766	4107769039	1	3	10.0.1.3	2
1776138600051046286	3751152209	1	8	10.0.1.8	2
1776138600066750262	3276954995	2	9	10.0.1.9	2
1776138600067967803	3128729228	2	9	10.0.1.9	2
1776138600068486936	3553615832	2	9	10.0.1.9	2
1776138600069020852	4228832593	2	9	10.0.1.9	2
1776138600069338152	3976635696	2	9	10.0.1.9	2
1776138600070633808	2827508298	2	9	10.0.1.9	2
1776138600071527929	3690917561	2	9	10.0.1.9	2
1776138600073183094	2224576380	2	9	10.0.1.9	2
1776138600074398801	3502891610	2	9	10.0.1.9	2
1776138600075341587	4289439510	2	9	10.0.1.9	2
1776138600075741642	2358888647	2	9	10.0.1.9	2
1776138600076489398	3100276082	2	9	10.0.1.9	2
1776138600077459618	3362804910	2	9	10.0.1.9	2
1776138600078159748	2512520756	2	9	10.0.1.9	2
1776138600082358125	2454826618	2	9	10.0.1.9	2
1776138600086635372	2478971848	2	10	10.0.1.10	2
1776138600087263497	3155707033	2	10	10.0.1.10	2
1776138600087613115	3977872721	2	10	10.0.1.10	2
1776138600087835665	3992906944	2	10	10.0.1.10	2
1776138600088203910	4020911913	2	10	10.0.1.10	2
1776138600088449151	2294416087	2	10	10.0.1.10	2
1776138600089197337	4087572061	2	10	10.0.1.10	2
1776138600089838907	3857188730	2	10	10.0.1.10	2
1776138600090236702	2777486158	2	10	10.0.1.10	2
1776138600090622472	2952448758	2	10	10.0.1.10	2
1776138600092757168	2692895835	2	10	10.0.1.10	2
1776138600093519364	2695793574	2	10	10.0.1.10	2
1776138600095511704	2874538361	2	1	10.0.1.1	2
1776138600096759085	3542997242	2	1	10.0.1.1	2
1776138600098893649	2963547610	2	1	10.0.1.1	2
1776138600105421923	3478301526	2	1	10.0.1.1	2
1776138600105787627	2664661692	2	1	10.0.1.1	2
1776138600108306956	4125163832	2	7	10.0.1.7	2
1776138600110246559	4021333295	2	7	10.0.1.7	2
1776138600111960791	3637839798	2	7	10.0.1.7	2
1776138600113220757	2317066885	2	7	10.0.1.7	2
1776138600114710729	3137795550	2	7	10.0.1.7	2
1776138600121959146	3508446744	2	4	10.0.1.4	2
1776138600124569132	2460092401	2	4	10.0.1.4	2
1776138600125467488	3288154638	2	4	10.0.1.4	2
1776138600129567812	3698919954	2	5	10.0.1.5	2
