timestamp_ns	dev_addr	fcnt	gw_id	src_ip	tenant_id
1774860423520419587	1115258504	0	12	10.0.1.12	1
1774860423540062228	319847637	0	12	10.0.1.12	1
1774860423552505706	684038033	0	12	10.0.1.12	1
1774860423588646965	843863541	0	12	10.0.1.12	1
1774860423609048620	1208870648	0	12	10.0.1.12	1
1774860423609535962	235374063	0	12	10.0.1.12	1
1774860423609819163	2087476217	0	12	10.0.1.12	1
1774860423610041190	1515640773	0	12	10.0.1.12	1
1774860423610254500	1204495171	0	12	10.0.1.12	1
1774860423610723393	1027293867	0	12	10.0.1.12	1
1774860423610962346	987119911	0	12	10.0.1.12	1
1774860423611169281	1451416714	0	12	10.0.1.12	1
1774860423611364814	1917985703	0	13	10.0.1.13	1
1774860423611558636	567713458	0	12	10.0.1.12	1
1774860423630335256	843863541	0	13	10.0.1.13	1
1774860423631766067	2109387922	0	12	10.0.1.12	1
1774860423632293362	1030370001	0	12	10.0.1.12	1
1774860423633438843	1094602695	0	13	10.0.1.13	1
1774860423638084904	2006792084	0	12	10.0.1.12	1
1774860423639228686	894513420	0	13	10.0.1.13	1
1774860423643533240	1660142994	0	12	10.0.1.12	1
1774860423654795639	314555083	0	12	10.0.1.12	1
1774860423655171333	2087476217	0	13	10.0.1.13	1
1774860423659964632	1242264175	0	13	10.0.1.13	1
1774860423660460024	488645359	0	13	10.0.1.13	1
1774860423660761936	1984295580	0	12	10.0.1.12	1
1774860423665548371	1778012750	0	12	10.0.1.12	1
1774860423673259152	520113160	0	13	10.0.1.13	1
1774860423673653339	583302670	0	12	10.0.1.12	1
1774860423673988076	1204495171	0	13	10.0.1.13	1
1774860423688130672	809225042	0	13	10.0.1.13	1
1774860423689124707	1917985703	0	9	10.0.1.9	1
1774860423689803644	2055866413	0	13	10.0.1.13	1
1774860423690577297	2021824810	0	13	10.0.1.13	1
1774860423695256776	35727598	0	9	10.0.1.9	1
1774860423695584005	1030370001	0	13	10.0.1.13	1
1774860423696162106	894513420	0	9	10.0.1.9	1
1774860423696556745	1231532049	0	13	10.0.1.13	1
1774860423696994937	1019824086	0	5	10.0.1.5	1
1774860423704360425	660733113	0	9	10.0.1.9	1
1774860423705208018	711331606	0	5	10.0.1.5	1
1774860423713580645	1778012750	0	13	10.0.1.13	1
1774860423717324507	1351326605	0	5	10.0.1.5	1
1774860423717721550	1548728349	0	9	10.0.1.9	1
1774860423719596277	582253076	0	13	10.0.1.13	1
1774860423722674703	1726503531	0	14	10.0.1.14	1
1774860423723953802	816452531	0	9	10.0.1.9	1
1774860423728224459	1115258504	1	12	10.0.1.12	1
1774860423730060268	1206924508	0	13	10.0.1.13	1
1774860423730318814	2000099130	0	14	10.0.1.14	1
1774860423730520496	1407870889	0	5	10.0.1.5	1
1774860423731182561	1726503531	0	6	10.0.1.6	1
1774860423742912100	319847637	1	12	10.0.1.12	1
1774860423743331224	1809473867	0	14	10.0.1.14	1
1774860423745249004	1726503531	0	1	10.0.1.1	1
1774860423745905798	684038033	1	12	10.0.1.12	1
1774860423747417423	684038033	0	8	10.0.1.8	1
1774860423754991362	843863541	1	12	10.0.1.12	1
1774860423755649795	235374063	0	14	10.0.1.14	1
1774860423756388276	437854052	0	5	10.0.1.5	1
1774860423756710632	235374063	0	6	10.0.1.6	1
1774860423757798650	1208870648	1	12	10.0.1.12	1
