timestamp_ns	dev_addr	fcnt	gw_id	src_ip	tenant_id
1776140438881672911	2478971848	0	8	10.0.1.8	2
1776140438890593484	3976635696	0	8	10.0.1.8	2
1776140438895699538	2963547610	0	8	10.0.1.8	2
1776140438896423527	3690917561	0	8	10.0.1.8	2
1776140438896630048	2224576380	0	8	10.0.1.8	2
1776140438897096947	4289439510	0	8	10.0.1.8	2
1776140438897776464	3751152209	0	8	10.0.1.8	2
1776140438898053065	4021333295	0	8	10.0.1.8	2
1776140438898853864	3276954995	0	4	10.0.1.4	2
1776140438901714685	3128729228	0	6	10.0.1.6	2
1776140438902227431	3553615832	0	4	10.0.1.4	2
1776140438908608539	3155707033	0	4	10.0.1.4	2
1776140438909141785	3849406260	0	8	10.0.1.8	2
1776140438913823917	2512520756	0	8	10.0.1.8	2
1776140438915177281	2317066885	0	8	10.0.1.8	2
1776140438918229845	3027906024	0	2	10.0.1.2	2
1776140438921259467	3977872721	0	4	10.0.1.4	2
1776140438922280879	2874538361	0	6	10.0.1.6	2
1776140438923080221	3992906944	0	4	10.0.1.4	2
1776140438923382776	3635055455	0	6	10.0.1.6	2
1776140438925753188	3542997242	0	6	10.0.1.6	2
1776140438929802378	2692895835	0	8	10.0.1.8	2
1776140438930413714	4228832593	0	2	10.0.1.2	2
1776140438932356104	2827508298	0	6	10.0.1.6	2
1776140438934356488	4020911913	0	6	10.0.1.6	2
1776140438941113086	3508446744	0	4	10.0.1.4	2
1776140438941457051	2358888647	0	6	10.0.1.6	2
1776140438944918236	4087572061	0	4	10.0.1.4	2
1776140438945228128	3100276082	0	6	10.0.1.6	2
1776140438947430988	3637839798	0	6	10.0.1.6	2
1776140438948453723	4125163832	0	2	10.0.1.2	2
1776140438950201630	3079430277	0	2	10.0.1.2	2
1776140438950915379	3857188730	0	6	10.0.1.6	2
1776140438952246700	2460092401	0	4	10.0.1.4	2
1776140438953177892	2294416087	0	1	10.0.1.1	2
1776140438953869570	3288154638	0	4	10.0.1.4	2
